,Страна,HPI,Удовлетворенность жизнью,Ожидаемая продолжительность жизни,Экологический след
0,"<span class=""wrap"">Коста-Рика</span>",<td>64.0</td>,<td>7.3</td>,<td>79.3</td>,"<td>2.5
</td>"
1,"<span class=""wrap"">Вьетнам</span>",<td>60.4</td>,<td>5.8</td>,<td>75.2</td>,"<td>1.4
</td>"
2,"<span class=""wrap"">Колумбия</span>",<td>59.8</td>,<td>6.4</td>,<td>73.7</td>,"<td>1.8
</td>"
3,"<span class=""wrap"">Белиз</span>",<td>59.3</td>,<td>6.5</td>,<td>76.1</td>,"<td>2.1
</td>"
4,"<span class=""wrap"">Сальвадор</span>",<td>58.9</td>,<td>6.7</td>,<td>72.2</td>,"<td>2.0
</td>"
5,"<span class=""wrap"">Ямайка</span>",<td>58.5</td>,<td>6.2</td>,<td>73.1</td>,"<td>1.7
</td>"
6,"<span class=""wrap"">Панама</span>",<td>57.8</td>,<td>7.3</td>,<td>76.1</td>,"<td>3.0
</td>"
7,"<span class=""wrap"">Никарагуа</span>",<td>57.1</td>,<td>5.7</td>,<td>74.0</td>,"<td>1.6
</td>"
8,"<span class=""wrap"">Венесуэла</span>",<td>56.9</td>,<td>7.5</td>,<td>74.4</td>,"<td>3.0
</td>"
9,"<span class=""wrap"">Гватемала</span>",<td>56.9</td>,<td>6.3</td>,<td>71.2</td>,"<td>1.8
</td>"
10,"<span class=""wrap"">Бангладеш</span>",<td>56.3</td>,<td>5.0</td>,<td>68.9</td>,"<td>0.7
</td>"
11,"<span class=""wrap"">Куба</span>",<td>56.2</td>,<td>5.4</td>,<td>79.1</td>,"<td>1.9
</td>"
12,"<span class=""wrap"">Гондурас</span>",<td>56.0</td>,<td>5.9</td>,<td>73.1</td>,"<td>1.7
</td>"
13,"<span class=""wrap"">Индонезия</span>",<td>55.5</td>,<td>5.5</td>,<td>69.4</td>,"<td>1.1
</td>"
14,"<span class=""wrap"">Израиль</span>",<td>55.2</td>,<td>7.4</td>,<td>81.6</td>,"<td>4.0
</td>"
15,"<span class=""wrap"">Пакистан</span>",<td>54.1</td>,<td>5.3</td>,<td>65.4</td>,"<td>0.8
</td>"
16,"<span class=""wrap"">Аргентина</span>",<td>54.1</td>,<td>6.4</td>,<td>75.9</td>,"<td>2.7
</td>"
17,"<span class=""wrap"">Албания</span>",<td>54.1</td>,<td>5.3</td>,<td>76.9</td>,"<td>1.8
</td>"
18,"<span class=""wrap"">Чили</span>",<td>53.9</td>,<td>6.6</td>,<td>79.1</td>,"<td>3.2
</td>"
19,"<span class=""wrap"">Таиланд</span>",<td>53.5</td>,<td>6.2</td>,<td>74.1</td>,"<td>2.4
</td>"
20,"<span class=""wrap"">Мексика</span>",<td>52.9</td>,<td>6.8</td>,<td>77.0</td>,"<td>3.3
</td>"
21,"<span class=""wrap"">Бразилия</span>",<td>52.9</td>,<td>6.8</td>,<td>73.5</td>,"<td>2.9
</td>"
22,"<span class=""wrap"">Эквадор</span>",<td>52.5</td>,<td>5.8</td>,<td>75.6</td>,"<td>2.4
</td>"
23,"<span class=""wrap"">Филиппины</span>",<td>52.4</td>,<td>4.9</td>,<td>68.7</td>,"<td>1.0
</td>"
24,"<span class=""wrap"">Перу</span>",<td>52.4</td>,<td>5.6</td>,<td>74.0</td>,"<td>2.0
</td>"
25,"<span class=""wrap"">Алжир</span>",<td>52.2</td>,<td>5.2</td>,<td>73.1</td>,"<td>1.6
</td>"
26,"<span class=""wrap"">Иордания</span>",<td>51.7</td>,<td>5.7</td>,<td>73.4</td>,"<td>2.1
</td>"
27,"<span class=""wrap"">Новая Зеландия</span>",<td>51.6</td>,<td>7.2</td>,<td>80.7</td>,"<td>4.3
</td>"
28,"<span class=""wrap"">Норвегия</span>",<td>51.4</td>,<td>7.6</td>,<td>81.1</td>,"<td>4.8
</td>"
29,"<span class=""wrap"">Государство Палестина</span>",<td>51.2</td>,<td>4.8</td>,<td>72.8</td>,"<td>1.4
</td>"
30,"<span class=""wrap"">Гайана</span>",<td>51.2</td>,<td>6.0</td>,<td>69.9</td>,"<td>2.1
</td>"
31,"<span class=""wrap"">Индия</span>",<td>50.9</td>,<td>5.0</td>,<td>65.4</td>,"<td>0.9
</td>"
32,"<span class=""wrap"">Доминиканская Республика</span>",<td>50.7</td>,<td>4.7</td>,<td>73.4</td>,"<td>1.4
</td>"
33,"<span class=""wrap"">Швейцария</span>",<td>50.3</td>,<td>7.5</td>,<td>82.3</td>,"<td>5.0
</td>"
34,"<span class=""wrap"">Шри-Ланка</span>",<td>49.4</td>,<td>4.2</td>,<td>74.9</td>,"<td>1.2
</td>"
35,"<span class=""wrap"">Ирак</span>",<td>49.2</td>,<td>5.0</td>,<td>69.0</td>,"<td>1.4
</td>"
36,"<span class=""wrap"">Лаос</span>",<td>49.1</td>,<td>5.0</td>,<td>67.5</td>,"<td>1.3
</td>"
37,"<span class=""wrap"">Киргизия</span>",<td>49.1</td>,<td>5.0</td>,<td>67.7</td>,"<td>1.3
</td>"
38,"<span class=""wrap"">Тунис</span>",<td>48.3</td>,<td>4.7</td>,<td>74.5</td>,"<td>1.8
</td>"
39,"<span class=""wrap"">Молдавия</span>",<td>48.0</td>,<td>5.6</td>,<td>69.3</td>,"<td>2.1
</td>"
40,"<span class=""wrap"">Великобритания</span>",<td>47.9</td>,<td>7.0</td>,<td>80.2</td>,"<td>4.7
</td>"
41,"<span class=""wrap"">Марокко</span>",<td>47.9</td>,<td>4.4</td>,<td>72.2</td>,"<td>1.3
</td>"
42,"<span class=""wrap"">Таджикистан</span>",<td>47.8</td>,<td>4.4</td>,<td>67.5</td>,"<td>0.9
</td>"
43,"<span class=""wrap"">Турция</span>",<td>47.6</td>,<td>5.5</td>,<td>74.0</td>,"<td>2.6
</td>"
44,"<span class=""wrap"">Япония</span>",<td>47.5</td>,<td>6.1</td>,<td>83.4</td>,"<td>4.2
</td>"
45,"<span class=""wrap"">Германия</span>",<td>47.2</td>,<td>6.7</td>,<td>80.4</td>,"<td>4.6
</td>"
46,"<span class=""wrap"">Сирия</span>",<td>47.1</td>,<td>4.1</td>,<td>75.9</td>,"<td>1.5
</td>"
47,"<span class=""wrap"">Австрия</span>",<td>47.1</td>,<td>7.3</td>,<td>80.9</td>,"<td>5.3
</td>"
48,"<span class=""wrap"">Мадагаскар</span>",<td>46.8</td>,<td>4.6</td>,<td>66.7</td>,"<td>1.2
</td>"
49,"<span class=""wrap"">Франция</span>",<td>46.5</td>,<td>6.8</td>,<td>81.5</td>,"<td>4.9
</td>"
