,Страна,HPI,Удовлетворенность жизнью,Ожидаемая продолжительность жизни,Экологический след
1,Коста-Рика,64.0,7.3,79.3,2.5
2,Вьетнам,60.4,5.8,75.2,1.4
3,Колумбия,59.8,6.4,73.7,1.8
4,Белиз,59.3,6.5,76.1,2.1
5,Сальвадор,58.9,6.7,72.2,2.0
6,Ямайка,58.5,6.2,73.1,1.7
7,Панама,57.8,7.3,76.1,3.0
8,Никарагуа,57.1,5.7,74.0,1.6
9,Венесуэла,56.9,7.5,74.4,3.0
10,Гватемала,56.9,6.3,71.2,1.8
11,Бангладеш,56.3,5.0,68.9,0.7
12,Куба,56.2,5.4,79.1,1.9
13,Гондурас,56.0,5.9,73.1,1.7
14,Индонезия,55.5,5.5,69.4,1.1
15,Израиль,55.2,7.4,81.6,4.0
16,Пакистан,54.1,5.3,65.4,0.8
17,Аргентина,54.1,6.4,75.9,2.7
18,Албания,54.1,5.3,76.9,1.8
19,Чили,53.9,6.6,79.1,3.2
20,Таиланд,53.5,6.2,74.1,2.4
21,Мексика,52.9,6.8,77.0,3.3
22,Бразилия,52.9,6.8,73.5,2.9
23,Эквадор,52.5,5.8,75.6,2.4
24,Филиппины,52.4,4.9,68.7,1.0
25,Перу,52.4,5.6,74.0,2.0
26,Алжир,52.2,5.2,73.1,1.6
27,Иордания,51.7,5.7,73.4,2.1
28,Новая Зеландия,51.6,7.2,80.7,4.3
29,Норвегия,51.4,7.6,81.1,4.8
30,Государство Палестина,51.2,4.8,72.8,1.4
31,Гайана,51.2,6.0,69.9,2.1
32,Индия,50.9,5.0,65.4,0.9
33,Доминиканская Республика,50.7,4.7,73.4,1.4
34,Швейцария,50.3,7.5,82.3,5.0
35,Шри-Ланка,49.4,4.2,74.9,1.2
36,Ирак,49.2,5.0,69.0,1.4
37,Лаос,49.1,5.0,67.5,1.3
38,Киргизия,49.1,5.0,67.7,1.3
39,Тунис,48.3,4.7,74.5,1.8
40,Молдавия,48.0,5.6,69.3,2.1
41,Великобритания,47.9,7.0,80.2,4.7
42,Марокко,47.9,4.4,72.2,1.3
43,Таджикистан,47.8,4.4,67.5,0.9
44,Турция,47.6,5.5,74.0,2.6
45,Япония,47.5,6.1,83.4,4.2
46,Германия,47.2,6.7,80.4,4.6
47,Сирия,47.1,4.1,75.9,1.5
48,Австрия,47.1,7.3,80.9,5.3
49,Мадагаскар,46.8,4.6,66.7,1.2
50,Франция,46.5,6.8,81.5,4.9
