Column1;link;date;author;title;text;rubric;diff
1;/news/2022/01/22/insight-wake-up;22.01.2022;Александр Войтюк;Станция InSight пережила мощную пылевую бурю на Марсе;"NASA / JPL-Caltech
Автоматическая марсианская станция InSight вышла из безопасного режима, пережив мощную пылевую бурю. Теперь специалистам нужно оценить уровень пыли на солнечных батареях, а затем возобновить работу научных приборов станции, сообщается в твиттере миссии.InSight находилась в безопасном режиме с 7 января 2022 года в связи с крупной пылевой бурей, сильно ограничившей количество света, доступного солнечным батареям. Все это время станция не вела научные исследования, а лишь передавала на Землю данные о своем состоянии.19 января инженеры вывели станцию из безопасного режима, определив, что буря утихла. Теперь им предстоит определить на сколько упал уровень доступной мощности батарей из-за осаждения на них пыли, лишь после этого научные приборы возобновят свою работу в прежнем режиме.Проблема с осаждением пыли на батареях станции существует уже давно — ранее ожидалось, что их будут чистить пылевые вихри, однако этого не произошло. Тогда специалисты придумали способ очистки за счет струи песка, однако это не позволило решить проблему полностью. Если к весне этого года ученые не найдут более эффективного способа уборки пыли с батарей, то научная программа  станции будет завершена раньше срока.Данные InSight уже позволили ученым примерно понять, где пролегают основные границы раздела слоев Марса, составить детальную схему подповерхностных слоев планеты и определить размеры ее ядра. О том, как станция исследует Марс можно узнать из материалов «Заглянуть внутрь Красной планеты»,  «Сейсмограф для Марса» и «45 сантиметров за 50 лет».Александр Войтюк";Космонавтика;01.06.2022
2;/news/2022/01/22/denisova-cave;22.01.2022;Михаил Подрезов;Археологи обнаружили в Денисовой пещере фрагменты кольца и браслета из белого мрамора;"Остатки мраморного браслета из Денисовой пещеры
Михаил Шуньков и др. / Проблемы археологии, этнографии, антропологии Сибири и сопредельных территорий, 2021
Новосибирские археологи представили результаты исследования украшений, обнаруженных в южной галерее Денисовой пещеры в 2021 году. Среди находок выделяются подвески из зубов лисиц и копытных животных, а также изделия из белого мрамора – подвеска, фрагменты кольца и браслета. Артефакты относятся к начальному этапу верхнего палеолита. Об этом сообщается в журнале Проблемы археологии, этнографии, антропологии Сибири и сопредельных территорий.В Солонешенском районе Алтайского края, в долине реки Ануй, расположена Денисова пещера – самая древняя известная пещера на территории Сибири, которую заселил человек. Первые люди появились на этой стоянке еще в позднем нижнем палеолите – около 300 тысяч лет назад. Хотя раскопки этого памятника продолжаются с 1980-х годов, лишь в 2010 году ученым стало известно, что древнейшие люди из Денисовой пещеры принадлежали к ранее неизвестной популяции Homo. Это стало известно благодаря развитию методов молекулярной биологии и проекту по прочтению генома неандертальца.Последующие исследования позволили ученым в общей сложности идентифицировать на этом памятнике фрагменты костей и зубы шести денисовцев и одной девочки-метиски, чьей мамой оказалась неандерталка. Исследование ДНК в образцах отложений Денисовой пещеры позволило обнаружить, что денисовцы обитали на этой стоянке с перерывами около 287–51 тысячи лет назад. Кроме того, около 193–79 тысяч лет назад эту пещеру занимали и неандертальцы (H. neanderthalensis). Уже в более позднее время, то есть в эпоху верхнего палеолита, впервые здесь оказались и люди современного анатомического типа (H. sapiens). За годы работ археологи раскопали на этом памятнике, помимо многочисленных фаунистических материалов, большое количество личных украшений, а также тысячи каменных и костяных орудий.
1–6 – подвески из зубов млекопитающих; 7 – плоская костяная бусина; 8 – подвеска из раковины моллюска
Михаил Шуньков и др. / Проблемы археологии, этнографии, антропологии Сибири и сопредельных территорий, 2021
Поделиться
Михаил Шуньков (Mikhail Shunkov) совместно с коллегами из Института археологии и этнографии СО РАН исследовал украшения, найденные в 2021 году в слое 11 южной галереи Денисовой пещеры и относящиеся к начальному этапу верхнего палеолита. Коллекция находок включает 12 артефактов: плоскую костяную бусину, шесть подвесок из зубов млекопитающих, подвеску из раковины моллюска, изделия из мрамора и отщеп из серпентина.
Исследование показало, что костяные подвески были изготовлены из клыков лисицы (Vulpes vulpes) и резцов копытных животных — лошади (Equus ferus), сибирского горного козла (Capra sibirica) и сайги (Procapra saiga). Две подвески крепились с помощью нарезок, сделанных каменным орудием, остальные четыре — через биконические перфорации. Археологи отметили, что на этих предметах видны следы износа в виде интенсивной залощенности.
Плоская костяная бусина размером 7,3?3,4?1,6 миллиметра была изготовлена из кости крупного млекопитающего. На ее поверхностях также ученые зафиксировали заполированность от использования. Еще одну подвеску размером 16,1?13,4?5,1 миллиметра древние жители Алтая изготовили из раковины моллюска Corbicula tibetesis. В верхней части этого артефакта располагается отверстие многоугольной формы, которое, вероятно, было сделано методом сверления или пробития.
Фрагмент мраморного кольца
Михаил Шуньков и др. / Проблемы археологии, этнографии, антропологии Сибири и сопредельных территорий, 2021
Поделиться
Отдельное место среди находок занимают артефакты, изготовленные из молочно-белого мрамора. Так, остатки браслета представлены фрагментом подпрямоугольной формы с изогнутым профилем. Его максимальная длина достигает 32, ширина — 17,7, а толщина — 9,7 миллиметра. Ученые отметили, что с внешней стороны этот браслет был хорошо зашлифован. Большую часть кольца округлой формы исследователи восстановили из четырех фрагментов. Максимальная длина этого артефакта по внешней окружности составляет 83,4 миллиметра, при толщине 7,3–8,1 миллиметра. Поверхности кольца оказались тщательно отшлифованы. Обнаруженная подвеска из мрамора размером около 23,3?4,5?3,9 миллиметра была изготовлена из фрагмента кольца.
Археологи отметили, что в общей сложности в Денисовой пещере обнаружили восемь предметов, изготовленных из мрамора, в том числе одно целое кольцо в восточной галерее. Исследователи предполагают, что древние люди добывали материал для производства подобных украшений в русле реки Ануй.Ранее на N + 1 рассказывали о других исследованиях материалов из Денисовой пещеры. Так, палеогенетикам удалось секвенировать древнюю ДНК из пропитанных смолой отложений, а археологам раскопать фигурку пещерного льва, вырезанную из бивня мамонта.
Михаил Подрезов";Археология;03.01.2022
3;/news/2022/01/22/scythian-mound;22.01.2022;Михаил Подрезов;Археологи раскопали на Алтае курган раннескифского времени с детскими погребениями на краю;"Находки из кургана-7 могильника Усть-Иша-5
Папин Дмитрий и др. / Проблемы археологии, этнографии, антропологии Сибири и сопредельных территорий, 2021
Археологи раскопали в Предгорном Алтае курган-7 могильника Усть-Иша-5, относящийся к раннескифскому времени (IX–VII века до нашей эры). Ученые обнаружили, что центральное погребение этого сооружения оказалось потревоженным и разграбленным еще в древности. На краю кургана и за его пределами они также нашли, похоже, шесть могильных ям, в которых были похоронены дети. Однако большинство их останков не сохранилось. Результаты исследования опубликованы в журнале Проблемы археологии, этнографии, антропологии Сибири и сопредельных территорий.Скифское время в Южной Сибири и сопредельных территориях принято делить на два этапа, первый из которых в научной литературе называют аржано-майэмирским (раннескифским) временем и датируют концом IX – первой половиной VI века до нашей эры. Свое название этот период получил благодаря «царским» курганам, расположенным на территории современной Республики Тыва, и Майэмирскому кладу, найденному в Восточном Казахстане.Применительно к этому периоду археологи выделяют в Лесостепном и Горном Алтае три культуры: бийкенкскую, майэмирскую и большереченскую. Последняя была названа так в честь одноименного села в Топчихинском районе Алтайского края, где были обнаружены древнее поселение Ближние Елбаны и погребально-поминальные комплексы. Значительная часть памятников этой культуры, демонстрирующая переходные черты от поздней бронзы к раннему железу, расположена на правобережье Оби и в междуречье рек Бии и Катуни. Так, группа памятников находится на террасе правого берега реки Иша (приток Катуни) в Красногорском районе Алтайского края. Среди них – могильник Усть-Иша-5, который был открыт еще в 1961 году. Десять курганов этого памятника были обследованы в 1990-е годы.
Общий план кургана-7 могильника Усть-Иша-5
Папин Дмитрий и др. / Проблемы археологии, этнографии, антропологии Сибири и сопредельных территорий, 2021
Поделиться
Дмитрий Папин (Dmitry Papin) из Института археологии и этнографии СО РАН совместно с барнаульскими археологами исследовал один из самых больших курганов (курган-7) могильника Усть-Иша-5. Он представлял собой большую земляную насыпь овальной формы, размер которой составлял примерно 18?16 метров при высоте около 0,9 метра. Во время разбора насыпи ученые обнаружили вертикальный камень, идентифицированный как стела, размером 33?57?8 сантиметров.
После расчистки земляной насыпи на краях кургана и за его пределами археологи обнаружили шесть объектов, которые оказались похожи на могильные ямы овальной формы. В четырех из них исследователи нашли зубы новорожденных детей, а также две приплюснутых бусины кольцевидной и шаровидной форм. Похоже, два других объекта также были детскими погребениями, однако останки не сохранились.
Центральное погребение кургана оказалось разграбленным и поврежденным еще в древности. В могильной яме размером 0,96?1,88 метра археологи обнаружили венчик сосуда, фрагмент бронзовой подвески, а также останки человека. Хотя анатомический порядок костей был нарушен, ученым удалось установить, что изначально человека похоронили в сильно скорченном положении лежа на правом боку с ориентацией головы на запад.
Археологи пришли к выводу, что погребальное сооружение относится к раннескифскому времени (IX–VII века до нашей эры) предгорно-равнинного Алтая. Центральное подкурганное захоронение и связанные с ним детские могилы, по мнению ученых, свидетельствуют о возникновении в тот период новой традиции многомогильных захоронений под одной насыпью. Такая практика получила широкое распространение примерно с IV века до нашей эры.Ранее на N + 1 рассказывали об исследованиях курганов этого периода, расположенных в Тыве. Так, в ходе раскопок памятника Туннуг-1 в скифской «Долине царей» археологи нашли бронзовую корону. Кроме того, в 2021 году в затопляемой зоне Саяно-Шушенского водохранилища ученые обнаружили около 200 древних курганов, самые ранние из которых относятся к раннескифскому времени.
Михаил Подрезов";Археология;02.08.2022
4;/news/2022/01/22/jwst-mirror-segments-complete;22.01.2022;Александр Войтюк;Телескоп «Джеймс Уэбб» завершил настройку положения сегментов главного зеркала;"NASA
Космический инфракрасный телескоп «Джеймс Уэбб» завершил процесс выдвижения сегментов главного зеркала, а также приводов, управляющих их положением. Это необходимо для будущей операции юстировки оптической системы, которая займет три месяца, сообщается на сайте NASA.«Джеймс Уэбб» отправился в космос спустя 25 лет после начала разработки — это произошло 25 декабря 2021 года. Обсерватория уже завершила основные этапы развертывания: опорной башни, теплозащитного экрана, солнечной батареи, радиаторов и зеркала оптической системы, а также совершила два из трех маневров коррекции траектории.19 января 2022 года «Джеймс Уэбб» завершил операцию выдвижения 18 сегментов главного зеркала, а также 132 приводов, расположенных на задней стороне сегментов главного и вторичного зеркал. Она заняла десять дней. Сегменты главного зеркала были смещены на 12,5 миллиметра от первоначального положения, чтобы в дальнейшем можно было провести тонкую настройку положения зеркал для придания главному зеркалу параболической формы.  К настоящему времени обсерватория пролетела 96,5 процента пути до рабочей гало-орбиты вокруг L2 в системе Солнце—Земля. В ближайшие дни она выполнит финальный маневр выхода на орбиту, после чего начнет процесс юстировки, который займет примерно три месяца. За ним последует этап калибровки научных инструментов телескопа.О том, какие задачи у «Джеймса Уэбба» и как он устроен, можно узнать из материала «Лети и смотри».Александр Войтюк";Космонавтика;01.09.2022
5;/news/2022/01/22/radium-optical-clock;22.01.2022;Марат Хамадеев;Физики создали радиевые оптические часы;"C.?A. Holliman et al. / Physical Review Letters, 2022
Американские физики сообщили о создании оптических атомных часов на основе иона радия. Они добились относительной неопределенности измерения частоты, равной 9?10?16. Радиевые часы позволили ученым впервые измерить отношения факторов Ланде D5/2 и S1/2 состояний. Исследование опубликовано в Physical Review Letters.Атомными часами называют устройства для измерения времени с помощью точного определения частот атомных переходов. Эталоном в этой области стали часы на основе цезия-133 с частотой сверхтонкого перехода равной 9,2 гигагерца. Со временем физики перешли к оптическим частотам, что позволило существенно повысить точность. Сегодня оптические атомные часы помогают ученым искать темную материю, проверять постоянство физических констант со временем и исследовать нарушения принципа эквивалентности Эйнштейна.Чтобы повысить производительность часов и увеличить их чувствительность, физики перебирают различные атомы в качестве рабочего тела. Для этого, однако, надо сначала научиться эффективно охлаждать и пленять атомы в ловушки. Недавно группа экспериментаторов научилась это делать с ионами радия Ra+. Они предположили, что этот ион может быть хорошим кандидатом для создания оптических атомных часов.Проверить это предположение решила группа американских физиков при участии Эндрю Джеича (Andrew Jayich) из Калифорнийского университета в Санта-Барбаре. Им удалось создать такие атомные часы на переходе 7s2S1/2 – 6d2D5/2 иона 266Ra+ с относительной неопределенностью измерения 9?10?16 и частотной нестабильностью, равной 1,1?10?13 на корень квадратный от времени измерения. Собранная установка позволила впервые измерить отношения факторов Ланде D5/2 и S1/2 состояний.Для захвата одиночного иона авторы использовали квадрупольную ионную ловушку. Ловушка захватывала частицу, образующуюся в результате лазерной абляции мишени из хлорида радия, которую физики располагали в 15 миллиметрах от центра ловушки. В качестве часового перехода они использовали переход 7s2S1/2 – 6d2D5/2, состоящий из нескольких зеемановских компонент. Зеемановское расщепление возникает в присутствии магнитного поля симметрично относительно невозмущенной частоты. Это позволило физикам компенсировать его влияние на измерение центральной частоты. Чтобы уменьшить ошибки, связанные с флуктуациями поля, они синхронизировали измерения с частотой электрического тока равной 60 герц, которым питается установка.
(a) Схема энергетических уровней иона радия. Красным цветом обозначен часовой переход; голубым и серым – переходы, используемые для контроля населенности; желтым – переход, используемый для возврата в исходное состояние. (b) Схема установки.
C.?A. Holliman et al. / Physical Review Letters, 2022
Поделиться
Авторы проводили измерения центральной частоты для различных длительностей протокола и строили соответствующую дисперсию Аллана, которая позволяет оценивать стабильность часов. Ее поведение убывало по закону обратного квадратного корня от времени с коэффициентом 1,1?10?13. Они также исследовали все факторы, которые вносят вклад в неопределенность измерения частоты. Наибольшими из них оказались переменный эффект Штарка, сдвиг, вызванный окружающим чернотельным излучением, и нескомпенсированные флуктуации магнитного поля. Их учет дал относительную неопределенность, равную 9?10?16.Данные об измерении всех компонент позволили физикам вычислить отношение факторов Ланде D5/2 и S1/2 состояний. Фактор (множитель) Ланде определяет амплитуду зееманского смещения уровня для некоторого магнитного поля в зависимости от его квантовых чисел. Чтобы вычислить их отношение, авторы следили за тем, как эти смещения зависят от магнитного поля в течение измерений, и усредняли их по всем зеемановским компонентам. Это позволило получить значение, равное 0,5988053(11).Чтобы улучшить точность атомных часов, не обязательно менять сами атомы. Недавно мы рассказывали, как для этого использовали комбинирование частот.Марат Хамадеев";Физика;07.09.2022
6;/news/2022/01/22/vostok;22.01.2022;Михаил Подрезов;В Антарктиде начали собирать новый зимовочный комплекс станции «Восток»;"Арктический и антарктический научно-исследовательский институт
В Антарктиде начали собирать новый зимовочный комплекс станции «Восток». После окончания подготовительных работ, начавшихся еще в сезоне 2019–2020 годов, строители установили 36 опор будущей станции и начали монтаж горизонтальных балок платформы-основания. Об этом сообщается в пресс-релизе Арктического и антарктического научно-исследовательского института.
Рядом с Южным геомагнитным полюсом Земли расположена единственная российская внутриконтинентальная антарктическая станция «Восток», которая была основана в 1957 году во время второй Советской Антарктической экспедиции. За десятилетия своего существования станция ушла глубоко под снег, а ее износ приближается к 100 процентам. О начале работ над проектом нового зимовочного комплекса станции «Восток» стало известно в конце 2018 года.
В 2020 году Гатчинский Опытный завод строительных конструкций закончил контрольную сборку нового зимовочного комплекса, который рассчитан на проживание 35 полярников в летнее время и 15 — в зимнее. Его жилая площадь составляет порядка 1500 квадратных метров. Комплекс будет обеспечиваться энергией с помощью четырех дизель-генераторов мощностью 200 киловатт каждый. Дополнительно будут установлены еще две резервные установки такой же мощности. Кроме того, полярники получат новые снегоплавильные установки, систему водоснабжения и отопления.
Модули станции были разобраны и погружены на борт атомного лихтеровоза «Севморпуть» в 2020 году, который должен был доставить их в Антарктиду. Однако у берегов Западной Африки у него сломалась винторулевая группа, после чего судну пришлось вернуться в Санкт-Петербург. Первая часть модулей в итоге отправилась к Антарктиде лишь 7 сентября 2021 года на контейнеровозе «Мыс Дежнев». 15 сентября за ним последовал контейнеровоз «Андрей Осипов», а в конце месяца в сторону Антарктиды выдвинулись ледокол «Капитан Хлебников» и танкер «Ярослав Мудрый».
Арктический и антарктический научно-исследовательский институт
Поделиться
Арктический и антарктический научно-исследовательский институт сообщил, что в Антарктиде начались работы по сборке нового зимовочного комплекса станции «Восток». Им предшествовали подготовительные работы, которые проходили в течение трех сезонов (2019–2020, 2020–2021, 2021–2022 годов). Они заключались в послойном уплотнении снежной поверхности для создания качественного фундамента, который будет способен выдержать новую станцию. Расчетная несущая способность плиты, размер которой составляет 200?120?3 метра, в пять раз превышает давление опор будущей станции на поверхность. Перепад высот на поверхности, определенный по окончанию работ с помощью геодезической съемки, составил меньше десяти сантиметров.
На подготовленном фундаменте строители установили с помощью крана 36 опор станции, высота которых составляет три метра. Они позволят зимовочному комплексу оставаться незанесенным снегом в течение многих лет. До конца текущего сезона планируется завершить монтаж платформы-основания. Так, монтаж ее горизонтальных балок уже выполнен на треть.
На сегодня на станцию «Восток» санно-гусеничными походами привезли уже свыше 900 тонн строительных грузов и топлива, которые ранее были доставлены на береговую станцию «Прогресс» контейнеровозами. В ближайшее время будет доставлено еще 300 тонн грузов, а также дополнительное топливо с подбаз «550 км» и «1100 км».
Подробнее узнать о том, какой будет обновленная российская станция «Восток», можно в нашем материале «Остаться в Антарктиде».
Михаил Подрезов";Экология и климат;02.07.2022
7;/news/2022/01/21/unfamiliar-voices-and-dreams;21.01.2022;Алиса Родина;Спящий мозг отреагировал на незнакомые голоса активнее;"Pokemon / OLM, Inc.,1997
Группа австрийских и швейцарских ученых провела двухдневный эксперимент, во время которого исследователи наблюдали за мозговой активностью 17 человек. Во время сна с небыстрым движением глаз (NREM) у испытуемых, которые слышали незнакомые голоса, наблюдалось большее количество характерных для NREM ЭЭГ паттернов — это значит, что мозг спящего человека активнее реагирует на незнакомый голос. Результаты исследования опубликованы в Journal of Neuroscience.
Примерно треть своей жизни человек проводит во сне. О том, для чего мы вообще спим и что такое сон задумывались еще в Древней Греции. А с появлением методов регистрации биоэлектрической активности головного мозга в XX веке ученые смогли сформировать более точные представления о природе сна. Известно, что во время сна мозг продолжает избирательно реагировать на слуховые стимулы. Однако функциональная роль таких ответов до конца не изучена. Такие избирательные реакции спящего мозга на определенные звуки могут быть процессами торможения, которые защищают человека от пробуждения, а могут указывать на более высокий уровень обработки информации, который связывает спящий мозг с окружающим миром.
Профессор Зальцбургского университета Мануэль Шабус (Manuel Schabus) вместе с коллегами провел исследование, чтобы лучше понять способность спящего мозга воспринимать и обрабатывать сенсорную информацию. Ученые в течение двух ночей наблюдали за активностью головного мозга участников эксперимента (всего их было 17) во время сна. В первую ночь испытуемые осваивались и привыкали к новой обстановке. Во вторую ночь для каждого участника исследователи включили зацикленную аудиозапись, записанную голосом незнакомого человека и голосом близкого, например, одного из родителей. Голос произносил имя спящего и два незнакомых имени. За всю ночь аудиозапись проигрывалась четыре раза в течение 90 минут. Громкость звука подбиралась для каждого участника так, чтобы испытуемые могли четко слышать слова, но при этом это не мешало им спать.
Оказалось, что во время медленного сна незнакомые голоса вызывали у спящих большую активность мозга, чем знакомые. Исследователи обнаружили, что имена произнесенные незнакомым голосом вызвали больше К-комплексов и сонных веретен. Однако то, какое имя произносил голос — испытуемого или незнакомое, значительно не повлияло на мозговую активность. Исследователи предполагают, что с эволюционной точки зрения такое может происходить из-за того, что наш мозг в определенные периоды во сне продолжает принимать и обрабатывать внешнюю информацию, а незнакомый голос расценивается мозгом как потенциальная угроза для человека.
Ученые также отметили, что во второй половине ночи незнакомый голос вызывал меньшее К-комплексов. Вероятнее всего, после повторной обработки информации спящий мозг понял, что изначально незнакомый стимул не представляет непосредственной опасности для спящего, и ослабил свою реакцию на него — это еще раз подтверждает то, что спящий мозг продолжает изучать новую информацию во сне.
Отсутствие сна ученые изучают не меньше, чем сон. От разных форм расстройства сна страдает значительная часть населения Земли, и главное место среди них принадлежит бессоннице. О том, что современной науке известно о бессоннице читайте в нашем материале «Хорошо твои слова баюкают».
Алиса Родина";Медицина;02.01.2022
8;/news/2022/01/21/il96pd35;21.01.2022;Василиса Чернявцева;Ил-96-400М станет летающей лабораторией для двигателей ПД-35;"ПД-35
Ростех
Широкофюзеляжный дальнемагистральный пассажирский самолет Ил-96-400М станет летающей лабораторией для испытаний семейства двигателей ПД-35 тягой от 24 до 50 тонн. Как сообщает ТАСС, первый полет самолета запланирован до конца года.
«Ильюшин» разрабатывает Ил-96-400М с начала 2010-х годов. Он представляет собой модернизированную версию первого советского широкофюзеляжного дальнемагистрального самолета Ил-96, серийное производство которого фактически прекратилось к 2009 году. Это лайнер от 55,3 до 63,9 метра в длину с размахом крыла от 57,7 до 60,1 метра. Он может перевозить от 300 до 435 пассажиров на расстояние до девяти тысяч километров и с крейсерской скоростью 870 километров в час.
Ил-96-400М получил новое бортовое оборудование, а также усовершенствованные двигатели ПС-90А1. «Ильюшин» завершил стапельную сборку первого летного образца самолета в 2019 году и планировал начать его летные испытания в прошлом году.
Объединенная двигателестроительная корпорация (ОДК) разрабатывает ПД-35 с 2017 года на основе задела от разработки ПД-14. До этого газотурбинные двигатели в классе тяги 35 тонн в России не создавались. На базе газогенератора ПД-35 ОДК планирует создать семейство двигателей большой тяги. Они предназначаются для широкофюзеляжных дальнемагистральных лайнеров, таких как CR929, и тяжелых транспортных самолетов.
Замминистра промышленности Олег Бочаров 20 января сообщил, что Ил-96-400М станет летающей лабораторией для испытания двигателей ПД-35 тягой от 24 до 50 тонн. Свой первый полет Ил-96-400М должен совершить до конца этого года.
На базе Ил-96-400М в Воронеже также строят перспективный воздушный командный пункт для эвакуации высшего военного руководства страны и управления вооруженными силами во время ядерной войны. Воздушно-космические силы получат два таких «самолета судного дня».
Василиса Чернявцева";Авиация;02.01.2022
